max_pair_list,max_score_list
0002|0005|0014 ~ 0081|0020|0031,0.7684893955817089
0002|0008|0004 ~ 0023|0012|0004,0.7757980690690564
0002|0010|0000 ~ 0012|0008|0030,0.8087648627794569
0012|0007|0001 ~ 0002|0008|0004,0.8756588347329657
0012|0007|0014 ~ 0002|0008|0018,0.750953808495291
0012|0007|0000 ~ 0023|0012|0004,0.8061823417913228
0012|0007|0019 ~ 0023|0012|0023,0.7983310165251871
0012|0008|0001 ~ 0002|0009|0006,0.8207515273873133
0023|0012|0004 ~ 0002|0008|0004,0.775158446870444
0023|0013|0000 ~ 0012|0008|0009,0.7104154094334458
0023|0013|0014 ~ 0012|0008|0023,0.7805206292317496
0023|0028|0030 ~ 0002|0013|0021,0.8494499530473013
0033|0004|0014 ~ 0032|0003|0007,0.7097789513093775
0045|0001|0014 ~ 0047|0001|0017,0.7044029412765824
0045|0005|0014 ~ 0046|0005|0028,0.884617925078158
0045|0008|0015 ~ 0046|0008|0003,0.8986483549480944
0045|0010|0001 ~ 0046|0010|0003,0.8555308664663046
0045|0010|0014 ~ 0046|0010|0017,0.7750361026892901
0045|0014|0014 ~ 0046|0018|0015,0.8105932471967202
0045|0014|0014 ~ 0047|0012|0016,0.7911403980746479
0045|0016|0000 ~ 0046|0020|0002,0.833078701050083
0045|0016|0000 ~ 0047|0014|0009,0.7167973817266794
0045|0016|0000 ~ 0048|0015|0033,0.8590888738245122
0045|0017|0016 ~ 0046|0021|0017,0.8909807155888628
0045|0017|0014 ~ 0047|0015|0015,0.8946750330953485
0045|0017|0015 ~ 0050|0010|0015,0.7871505588810527
0045|0018|0001 ~ 0046|0022|0001,0.7621458548939204
0045|0021|0000 ~ 0063|0001|0000,0.7136294587034953
0045|0022|0028 ~ 0012|0007|0023,0.7097775490647774
0045|0022|0028 ~ 0046|0028|0009,0.7512189783898263
0045|0022|0015 ~ 0047|0022|0032,0.8992448406167848
0045|0022|0029 ~ 0047|0023|0007,0.8419365322416251
0045|0022|0016 ~ 0048|0028|0008,0.8857294999458325
0045|0022|0029 ~ 0048|0028|0020,0.8253402790009298
0045|0022|0016 ~ 0063|0002|0008,0.8902579342581529
0045|0022|0030 ~ 0063|0002|0022,0.8845940804793143
0045|0023|0028 ~ 0046|0029|0008,0.7871915617707432
0045|0023|0015 ~ 0047|0023|0029,0.8798988959368486
0045|0023|0031 ~ 0047|0024|0006,0.8947595729117078
